id;label
68574;Swiping Right
6522;Swiping Down
20706;No gesture
39493;No gesture
118250;Swiping Down
62818;Swiping Left
1338;Swiping Right
10179;Swiping Left
28883;No gesture
53863;Swiping Down
117892;Swiping Down
12133;No gesture
123985;No gesture
40836;Swiping Down
102678;No gesture
10504;No gesture
104639;Swiping Left
85923;Swiping Up
79314;Swiping Down
111296;Swiping Up
18056;Swiping Up
46260;Swiping Up
114674;No gesture
114827;No gesture
87642;Swiping Up
74438;Swiping Up
105791;Swiping Left
38482;Swiping Left
78394;Swiping Right
111880;Swiping Left
88051;No gesture
51084;No gesture
147456;Swiping Left
6022;No gesture
23903;No gesture
122765;Swiping Up
75238;Swiping Left
33220;No gesture
39319;Swiping Left
136822;Swiping Down
52906;Swiping Right
12696;Swiping Down
113147;Swiping Left
84237;No gesture
54856;Swiping Up
56683;No gesture
8466;No gesture
110800;Swiping Down
134801;No gesture
94725;No gesture
111679;Swiping Right
135294;Swiping Right
16198;Swiping Right
103305;Swiping Right
145771;Swiping Right
144993;No gesture
57662;Swiping Up
3578;Swiping Up
22724;No gesture
15429;Swiping Left
42054;Swiping Down
32754;Swiping Down
12877;Swiping Up
41841;Swiping Down
97683;Swiping Up
3452;Swiping Left
127843;Swiping Down
49469;Swiping Up
21598;Swiping Up
47572;No gesture
121154;Swiping Down
130848;No gesture
73495;Swiping Left
25505;Swiping Up
8671;Swiping Up
91312;Swiping Down
14299;No gesture
65499;Swiping Left
131313;Swiping Right
114470;Swiping Down
80148;Swiping Right
117454;No gesture
146793;Swiping Left
64275;Swiping Up
51882;Swiping Left
81824;No gesture
84426;Swiping Down
84764;Swiping Right
1393;No gesture
40388;Swiping Left
31738;Swiping Right
27945;Swiping Right
105716;Swiping Down
91465;Swiping Right
116498;Swiping Left
39817;Swiping Up
136169;Swiping Down
20597;Swiping Right
20768;No gesture
50265;Swiping Right
12937;Swiping Up
81651;Swiping Left
5684;Swiping Down
143729;Swiping Left
57259;Swiping Up
128004;No gesture
119948;Swiping Left
69894;Swiping Right
10082;Swiping Up
74775;No gesture
93303;Swiping Left
72465;Swiping Right
128609;Swiping Up
122157;Swiping Down
58382;Swiping Right
112539;No gesture
2161;Swiping Up
38811;Swiping Down
104774;No gesture
39229;Swiping Down
80494;No gesture
132368;Swiping Up
84618;Swiping Up
110469;Swiping Left
138437;Swiping Down
144583;Swiping Left
55315;No gesture
114451;No gesture
38949;Swiping Right
63036;Swiping Left
49399;No gesture
70722;Swiping Down
76795;Swiping Down
25144;No gesture
143158;Swiping Left
137582;Swiping Right
33658;No gesture
53108;Swiping Left
27593;Swiping Right
2923;No gesture
4093;Swiping Up
146317;Swiping Right
14674;Swiping Right
71146;Swiping Up
91086;Swiping Left
136046;Swiping Up
146855;No gesture
42484;Swiping Down
16764;No gesture
146228;No gesture
119370;Swiping Right
61814;Swiping Right
21160;Swiping Down
43852;No gesture
120138;Swiping Right
46463;Swiping Up
90562;Swiping Left
25272;Swiping Up
27115;Swiping Right
39584;Swiping Down
134464;Swiping Right
31427;Swiping Left
107908;No gesture
7888;No gesture
108604;No gesture
47375;Swiping Left
132131;Swiping Right
123228;No gesture
121003;Swiping Down
17879;Swiping Right
141120;Swiping Right
85437;Swiping Down
126750;Swiping Down
74581;Swiping Left
99901;No gesture
25695;Swiping Left
58915;No gesture
113120;Swiping Up
75935;No gesture
112877;No gesture
18793;Swiping Left
81785;Swiping Up
39776;Swiping Right
23099;Swiping Down
17726;Swiping Down
2466;Swiping Up
127323;Swiping Right
124939;Swiping Up
132944;No gesture
73339;Swiping Left
74727;Swiping Up
40860;Swiping Up
81247;Swiping Left
103552;Swiping Right
47095;Swiping Down
11119;Swiping Up
17177;Swiping Up
21651;No gesture
116755;No gesture
115513;Swiping Up
70255;No gesture
83196;No gesture
128814;Swiping Left
59627;Swiping Down
30677;No gesture
53955;Swiping Down
143634;Swiping Right
111528;Swiping Down
88183;No gesture
35328;Swiping Left
77535;Swiping Up
124730;Swiping Right
110196;No gesture
15885;Swiping Right
26965;Swiping Left
64309;Swiping Right
79422;Swiping Up
99523;Swiping Right
98681;Swiping Up
11245;No gesture
83011;Swiping Left
110991;Swiping Left
31678;Swiping Left
125128;Swiping Left
107174;Swiping Left
41962;Swiping Up
70810;No gesture
115317;Swiping Up
89599;Swiping Left
84909;Swiping Right
28689;Swiping Right
41712;No gesture
22596;No gesture
49856;Swiping Down
29411;Swiping Down
39123;Swiping Up
95980;No gesture
85053;Swiping Down
26742;Swiping Down
137822;Swiping Down
134283;Swiping Left
39779;Swiping Right
9028;Swiping Right
130015;Swiping Right
74543;No gesture
45817;Swiping Up
21589;Swiping Up
121502;Swiping Left
124076;Swiping Up
73240;No gesture
63725;Swiping Left
94110;Swiping Left
6939;Swiping Left
99853;Swiping Right
51241;Swiping Right
3415;Swiping Left
131724;Swiping Right
94156;Swiping Left
115430;Swiping Left
88341;No gesture
33431;Swiping Down
116529;Swiping Down
136150;Swiping Down
79403;Swiping Down
34741;Swiping Right
75934;Swiping Down
21514;No gesture
110279;No gesture
91304;Swiping Up
1050;Swiping Right
127114;Swiping Left
80584;Swiping Left
127865;No gesture
105702;No gesture
75958;Swiping Left
147445;Swiping Right
54923;Swiping Right
61391;Swiping Left
50445;Swiping Up
123001;Swiping Up
79266;Swiping Left
122776;Swiping Right
92478;Swiping Right
72849;Swiping Left
56763;Swiping Left
75220;Swiping Down
67057;Swiping Left
117989;Swiping Down
33161;Swiping Up
19818;Swiping Right
40961;Swiping Up
87984;Swiping Right
40792;No gesture
110079;Swiping Down
122283;Swiping Left
86501;Swiping Up
36073;Swiping Right
15660;Swiping Right
66884;Swiping Up
118371;Swiping Up
97694;Swiping Right
131478;Swiping Down
106921;Swiping Up
29690;Swiping Left
111254;No gesture
80398;Swiping Down
56737;Swiping Right
76482;Swiping Right
2301;No gesture
50747;Swiping Left
96907;Swiping Up
123349;No gesture
120016;No gesture
29205;Swiping Left
26778;No gesture
51752;Swiping Right
122831;No gesture
138188;No gesture
144236;Swiping Left
18703;Swiping Up
52127;Swiping Up
89507;Swiping Left
98007;Swiping Up
73173;Swiping Left
23668;Swiping Down
141398;Swiping Left
16410;Swiping Left
51064;Swiping Left
35080;No gesture
46072;Swiping Down
11830;Swiping Down
77583;Swiping Right
127255;Swiping Left
138814;Swiping Right
128219;Swiping Left
129358;Swiping Right
70990;Swiping Up
109433;Swiping Up
139403;Swiping Right
47931;Swiping Up
136826;Swiping Up
123193;Swiping Down
109921;Swiping Right
143101;Swiping Right
51521;Swiping Left
127754;Swiping Right
62489;Swiping Left
139604;Swiping Up
110045;Swiping Up
118006;No gesture
110154;Swiping Left
19859;Swiping Up
129810;Swiping Down
87926;Swiping Right
66869;Swiping Down
85982;Swiping Up
73065;Swiping Up
124131;Swiping Down
38377;Swiping Left
144532;Swiping Down
102514;No gesture
138779;Swiping Right
27434;Swiping Right
17278;No gesture
123627;Swiping Up
83395;Swiping Right
147220;Swiping Up
144729;Swiping Up
38312;Swiping Left
106307;Swiping Down
145868;Swiping Left
91752;Swiping Up
60223;Swiping Up
144956;Swiping Right
64112;Swiping Right
94131;No gesture
137820;No gesture
78368;Swiping Up
28691;Swiping Left
44435;Swiping Down
42602;Swiping Down
60234;Swiping Up
37611;Swiping Up
104863;Swiping Down
122444;Swiping Down
103005;Swiping Up
51781;No gesture
128979;Swiping Up
106371;Swiping Down
85566;Swiping Up
1292;Swiping Down
112777;No gesture
4201;Swiping Right
62058;Swiping Down
79552;No gesture
138823;Swiping Up
26363;Swiping Up
105686;Swiping Down
87990;No gesture
11487;Swiping Down
25583;Swiping Left
58397;Swiping Down
67654;Swiping Left
125829;Swiping Left
123666;Swiping Right
107162;Swiping Left
81646;Swiping Left
128199;Swiping Up
89362;Swiping Left
147034;Swiping Up
9566;Swiping Left
111192;Swiping Right
3121;Swiping Left
134971;Swiping Left
33867;Swiping Up
68451;No gesture
91895;Swiping Up
36152;Swiping Up
49336;Swiping Up
60783;Swiping Right
58981;Swiping Left
101040;Swiping Left
69062;Swiping Right
20329;No gesture
138816;Swiping Left
60169;Swiping Right
25452;No gesture
19618;Swiping Down
144203;No gesture
131068;Swiping Up
53169;Swiping Up
16696;Swiping Right
102101;Swiping Down
102184;Swiping Left
85806;Swiping Up
115307;No gesture
70368;Swiping Left
3411;No gesture
57937;Swiping Up
143098;No gesture
106831;No gesture
96912;Swiping Right
90244;Swiping Up
138640;Swiping Up
108463;Swiping Left
147548;Swiping Down
100883;Swiping Right
139039;Swiping Down
57531;Swiping Down
59042;Swiping Up
144263;Swiping Left
40513;Swiping Up
4003;Swiping Up
113801;Swiping Up
119645;No gesture
28361;No gesture
145602;Swiping Down
121273;Swiping Up
17173;Swiping Down
74288;No gesture
92568;No gesture
45615;Swiping Left
102814;Swiping Down
132798;Swiping Left
123237;Swiping Down
71523;Swiping Down
131040;Swiping Down
68042;Swiping Up
111977;No gesture
101355;Swiping Down
63316;Swiping Up
115408;No gesture
43401;No gesture
49657;Swiping Up
130985;Swiping Down
20067;Swiping Left
5745;Swiping Up
76791;Swiping Right
123271;Swiping Down
23675;Swiping Right
31014;Swiping Left
120622;Swiping Right
81124;Swiping Left
113485;Swiping Right
72504;No gesture
44726;Swiping Left
85206;Swiping Right
8629;Swiping Down
96111;Swiping Down
30447;Swiping Up
91316;No gesture
118162;Swiping Right
70393;Swiping Left
59493;No gesture
145672;Swiping Left
63465;Swiping Up
92481;No gesture
103744;No gesture
68824;Swiping Left
128461;Swiping Right
67365;No gesture
52734;No gesture
75278;Swiping Down
126126;No gesture
121377;No gesture
100822;Swiping Down
8036;Swiping Left
80688;Swiping Right
145191;Swiping Left
127341;Swiping Right
48581;Swiping Right
141849;Swiping Up
141669;Swiping Right
